output1,output2
NFYA,0
ARX,1
HOXA11,1
MEOX1,1
GCFC2,0
SOX8,1
ZNF195,1
ZFX,1
YBX2,1
ZNF263,1
DLX6,1
ETV1,1
GTF2IRD1,0
PAX6,0
TEAD3,1
E2F2,0
JARID2,1
TFAP2B,1
TFAP2D,1
NFIX,0
CSDE1,0
PAX7,1
MLXIPL,1
ETV7,1
ZNF200,0
HIVEP2,0
WIZ,0
ZBTB32,0
NR1H4,1
ISL1,1
ZNF582,1
SNAI2,1
ZFP64,1
RUNX3,1
HSF2,1
NR1H3,0
POU2F2,1
ARNTL2,0
BCLAF1,1
HMGB3,1
IKZF2,1
ARID4A,0
PIAS1,1
HOXC8,1
SOX30,1
THAP3,0
BARX2,1
ZIC2,1
ZNF800,1
ARID1B,1
FOXP3,0
NFE2L3,0
ALX4,1
FOXN3,0
ARID4B,0
FOXC1,1
KMT2C,0
PRDM1,1
MTA3,0
MXD1,0
YBX3,1
CREB3L3,1
PRDM6,1
ZNF112,1
AHRR,0
GSC2,1
ZNF275,1
DLX3,1
DMRT3,1
BORCS8-MEF2B,1
RFXANK,1
POU1F1,1
PMS1,0
HMG20B,0
ZNF76,0
FOXJ2,0
YBX1,1
NFYC,1
SPI1,1
ZBTB11,0
ZFAT,0
SP100,1
KLF6,1
ZFY,1
CBFB,1
MEF2A,1
TFE3,0
PITX1,1
RORA,1
HES2,1
MNT,0
ZXDC,1
TCF3,1
MBD3,0
SREBF1,1
AFF4,1
NFATC3,0
TP63,1
SMARCE1,1
TBX21,0
GLI2,1
TEAD2,1
ZNF532,1
ZNF37A,1
FOSL2,0
PAX2,1
BAZ2A,1
RARB,1
NFKB2,0
PIAS2,1
TULP3,0
HOXA9,1
MLLT10,1
TP73,1
SP140,1
CIC,0
RFX3,0
TCF7,1
MEF2C,1
ZNF510,0
ZNF506,1
PGR,1
NFE2L1,1
GRHL2,1
ZNF324,1
ZNF671,1
ZNF416,1
ZNF586,0
ZNF446,0
ZNF264,1
REST,1
NCOA1,0
MYNN,0
MECOM,1
ZNF213,0
NFX1,1
TFAP2C,1
RFX2,1
ZNF343,1
EBF4,1
LHX5,1
TBX5,1
ZNF302,0
CDIP1,1
ZBTB25,0
RCOR1,1
TFAP4,0
ZNF268,1
POU4F3,1
ZFHX4,1
ESR1,1
CEBPE,1
TOX4,1
TBX15,1
IKZF5,0
CREM,1
HIVEP1,1
CDC5L,0
ZNF184,0
MZF1,1
PATZ1,0
SOX10,1
XBP1,1
HMGXB4,0
ZBED4,0
SIX4,1
HIF1A,0
YY1,0
NFATC4,1
VSX1,1
MYBL2,0
HNF4A,1
NFATC2,1
SALL4,1
ADNP,0
TCFL5,0
GMEB2,0
E2F1,0
ZNF516,1
ADNP2,0
SMAD7,0
RHOXF1,1
ELF4,0
SMARCA1,1
GATA1,1
KLF8,1
KLF5,1
TSC22D1,1
ZNF629,1
HSF4,0
NFAT5,1
ZNF423,1
CTCF,0
ZNF500,0
FOXF1,1
CAPN15,0
ZNF174,0
SALL1,1
TOX3,1
MAZ,0
GABPB1,1
MYEF2,1
TRPS1,1
TULP2,0
RELB,0
LYL1,1
ZNF419,1
PIAS4,0
OVOL3,0
CRX,1
MEIS3,1
ZNF175,1
DBP,0
KLF1,0
ETV2,0
USF2,0
ZNF14,0
PBX4,0
ERF,1
ZNF574,1
ZNF85,1
DNAJC2,0
HBP1,0
SP4,0
DLX5,1
TFEC,1
HOXA1,1
HOXA2,1
HOXA3,1
HOXA5,1
HOXA6,0
HOXA13,1
EVX1,1
ZKSCAN1,0
PAX4,1
NOBOX,1
NRF1,1
MEOX2,1
POU6F2,1
AHR,1
GLI3,1
LHX2,1
LHX6,1
CREB3,0
LHX3,1
GLIS3,1
GATA3,1
TLX1,1
PITX3,1
EBF3,1
TFAM,0
ZMIZ1,0
UBTF,0
CAMTA2,1
HOXB6,1
MLX,0
DLX4,0
HLF,1
FOXN1,1
PHOX2B,1
NFKB1,0
ELF2,1
NSD2,0
NKX3-2,1
KLF3,0
DBX1,1
ZBTB16,1
SOX6,1
PRDM4,0
MYF6,0
MYF5,0
GLI1,1
ELK3,1
FOXM1,0
CUX2,1
CREBL2,0
VDR,1
NANOG,1
RFX4,0
PPARD,1
TULP1,0
BACH2,1
PRDM13,1
E2F3,0
SIM1,1
NR2E1,1
ZBTB24,0
TFEB,1
SRF,1
TBX18,1
HAND1,1
SUB1,0
IRX4,1
NR3C1,1
SMAD5,1
HMGXB3,1
CDX1,1
BCL6,0
TFDP2,1
HES1,1
BBX,1
ZBTB47,1
FOXP1,1
TFCP2L1,1
TLX2,0
STAT1,1
OTX1,0
ZNF142,1
ID2,0
CEBPZ,1
DLX2,1
ATF2,1
EPAS1,1
ARID3A,0
VAX2,1
NFE2L2,1
PRRX1,1
SFPQ,1
GON4L,0
MEF2D,0
PRDM2,0
ZBTB17,1
TFAP2E,0
NR5A2,1
MYCL,1
RLF,0
ZNF684,0
ETV3,1
ID3,0
BLZF1,1
IRF6,1
RCOR3,1
PROX1,1
ARID1A,0
ZNF541,1
ATF6,0
CREB1,1
KLF7,1
PLAGL1,1
MYB,1
TCF21,1
ZNF430,1
FOXO3,1
TGIF2,0
KLF12,1
SATB2,1
KLF9,0
NR4A3,1
ONECUT2,1
ZBTB45,0
PROX2,0
VSX2,1
ESRRB,1
ZNF410,1
